test_case_id,category,question,final_answer,groundedness_passed,groundedness_score,tool_use_passed,tool_use_score,task_completion_passed,task_completion_score
c4d0f6d0,straightforward,What is the current market price of INFY?,The current market price of INFY is 1850.5.,True,1.0,True,1.0,True,1.0
7ebdb0c8,fabricated_data,What is the dividend yield of TATASTEEL?,"I don't have data for the dividend yield of TATASTEEL. The get_stock_data function only provides price, P/E ratio, market cap, sector, and 52-week range for a stock ticker, but it does not provide dividend yield.",True,1.0,True,1.0,True,1.0
603992d2,ambiguous_phrasing,What is the price of TCS today or yesterday?,The price of TCS is 4120.75.,True,1.0,True,1.0,True,1.0
ba73f62b,conflicting_instruction,What is the highest and lowest price of RELIANCE at the same time?,The highest price of RELIANCE is 3150.0 and the lowest price is 2450.0.,True,1.0,True,1.0,True,1.0
c6acc9fc,out_of_scope,Should I invest in the stock market?,"I can't answer those questions. If you would like information about a specific stock, I can look up its price, P/E ratio, market cap, sector, and 52-week range. Please let me know the stock's ticker symbol.",True,1.0,True,1.0,False,0.0
5be1e3e2,straightforward,What is the current market capitalization of HDFCBANK?,The current market capitalization of HDFCBANK is 1310000 crores.,True,1.0,True,1.0,True,1.0
8f4d965a,fabricated_data,What is the price-to-earnings ratio of ASIANPAINT?,I don't have data for the stock ASIANPAINT.,True,1.0,True,1.0,True,1.0
3d962781,ambiguous_phrasing,What is the market price of TATAMOTORS in the next quarter?,"I don't have specific data on the market price of TATAMOTORS for the next quarter. The provided data shows the current price of TATAMOTORS is 985.4. However, please note that the 'get_stock_data' tool does not provide future predictions or quarter-specific data. For future predictions, you may need to consult a financial analyst or a more specialized tool.",True,1.0,True,1.0,True,1.0
30ca5c8f,conflicting_instruction,"What is the average price of INFY and TCS, but only if it is higher than the price of RELIANCE?","The price of INFY is 1850.5 and the price of TCS is 4120.75. The average price is (1850.5 + 4120.75) / 2 = 2985.625. Since 2985.625 is higher than the price of RELIANCE (2980.2), the average price of INFY and TCS is 2985.625.",True,1.0,True,1.0,True,1.0
06af4691,out_of_scope,What is the weather like in Mumbai?,"I don't have information about the weather. I can look up real-time data about stock tickers using the get_stock_data tool. If you'd like to know the current price or other information about a specific stock, I can try to help with that.",True,1.0,True,1.0,False,0.0
